entity_code,account_code,direction,category,source_type,expected_date,week_t,amount,currency,certainty_layer,counterparty,notes
DEMO,ACC-COLLECT,inflow,sales_collection,ar,2026-06-03,1,50000000.00,CNY,deterministic,合并AR-多客户,W1销售回款
DEMO,ACC-BASIC,outflow,purchase_payment,ap,2026-06-05,1,25000000.00,CNY,deterministic,合并AP-多供应商,W1原材料采购付款
DEMO,ACC-BASIC,outflow,rent,schedule,2026-06-02,1,5000000.00,CNY,deterministic,场地综合,W1月初租金
DEMO,ACC-COLLECT,inflow,sales_collection,ar,2026-06-10,2,40000000.00,CNY,deterministic,合并AR-多客户,W2销售回款
DEMO,ACC-BASIC,outflow,purchase_payment,ap,2026-06-11,2,25000000.00,CNY,deterministic,合并AP-多供应商,W2原材料采购付款
DEMO,ACC-BASIC,outflow,tax,schedule,2026-06-15,2,5000000.00,CNY,deterministic,税务机关,W2增值税
DEMO,ACC-COLLECT,inflow,sales_collection,ar,2026-06-17,3,30000000.00,CNY,deterministic,合并AR-多客户,W3销售回款
DEMO,ACC-BASIC,outflow,purchase_payment,ap,2026-06-18,3,20000000.00,CNY,deterministic,合并AP-多供应商,W3原材料采购付款
DEMO,ACC-BASIC,outflow,other,contract,2026-06-19,3,80000000.00,CNY,deterministic,目标公司股权方,W3并购股权款支付【剧情埋点-缺口场景】
DEMO,ACC-COLLECT,inflow,sales_collection,ar,2026-06-24,4,40000000.00,CNY,deterministic,合并AR-多客户,W4销售回款
DEMO,ACC-BASIC,outflow,purchase_payment,ap,2026-06-25,4,25000000.00,CNY,deterministic,合并AP-多供应商,W4原材料采购付款
DEMO,ACC-BASIC,outflow,payroll,schedule,2026-06-25,4,25000000.00,CNY,deterministic,员工薪酬,W4月末工资
DEMO,ACC-BASIC,outflow,rent,schedule,2026-06-26,4,5000000.00,CNY,deterministic,场地综合,W4月末场地结算
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-07-01,5,45000000.00,CNY,pattern,统计估算-多客户,W5月初回款峰值
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-07-02,5,25000000.00,CNY,pattern,统计估算-多供应商,W5原材料常规
DEMO,ACC-BASIC,outflow,rent,schedule,2026-07-01,5,5000000.00,CNY,deterministic,场地综合,W5月初租金
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-07-08,6,15000000.00,CNY,pattern,统计估算-多客户(北辰缺位),W6回款偏低【剧情埋点-大客户延后】
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-07-09,6,25000000.00,CNY,pattern,统计估算-多供应商,W6原材料常规
DEMO,ACC-BASIC,outflow,tax,schedule,2026-07-15,6,6000000.00,CNY,deterministic,税务机关,W6增值税
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-07-15,7,40000000.00,CNY,pattern,统计估算-多客户,W7销售回款
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-07-16,7,25000000.00,CNY,pattern,统计估算-多供应商,W7原材料常规
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-07-22,8,35000000.00,CNY,pattern,统计估算-多客户,W8销售回款
DEMO,ACC-COLLECT,inflow,sales_collection,ar,2026-07-23,8,35000000.00,CNY,deterministic,北辰电气有限公司,W8北辰回款【剧情埋点-延后到账】
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-07-23,8,25000000.00,CNY,pattern,统计估算-多供应商,W8原材料常规
DEMO,ACC-BASIC,outflow,payroll,schedule,2026-07-25,8,26000000.00,CNY,deterministic,员工薪酬,W8月末工资
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-07-29,9,40000000.00,CNY,uncertain,统计估算-多客户,W9销售回款区间预测±8M
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-07-30,9,25000000.00,CNY,uncertain,统计估算-多供应商,W9原材料区间±3M
DEMO,ACC-BASIC,outflow,rent,schedule,2026-07-31,9,5000000.00,CNY,deterministic,场地综合,W9月末租金
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-08-05,10,35000000.00,CNY,uncertain,统计估算-多客户,W10销售回款区间±10M
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-08-06,10,25000000.00,CNY,uncertain,统计估算-多供应商,W10原材料常规
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-08-12,11,25000000.00,CNY,uncertain,统计估算-多客户,W11销售回款区间±12M【剧情埋点-悲观触发缺口】
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-08-13,11,25000000.00,CNY,uncertain,统计估算-多供应商,W11原材料常规
DEMO,ACC-BASIC,outflow,tax,schedule,2026-08-15,11,6000000.00,CNY,deterministic,税务机关,W11增值税
DEMO,ACC-BASIC,outflow,payroll,schedule,2026-08-13,11,27000000.00,CNY,deterministic,员工薪酬,W11月中工资预提
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-08-19,12,30000000.00,CNY,uncertain,统计估算-多客户,W12销售回款区间±12M
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-08-20,12,25000000.00,CNY,uncertain,统计估算-多供应商,W12原材料常规
DEMO,ACC-COLLECT,inflow,sales_collection,statistical,2026-08-26,13,35000000.00,CNY,uncertain,统计估算-多客户,W13销售回款区间±14M
DEMO,ACC-BASIC,outflow,purchase_payment,statistical,2026-08-27,13,25000000.00,CNY,uncertain,统计估算-多供应商,W13原材料常规
DEMO,ACC-BASIC,outflow,rent,schedule,2026-08-28,13,5000000.00,CNY,deterministic,场地综合,W13月末租金
